t=2025-12-05T05:47:55+0530 lvl=info msg="no configuration paths supplied"
t=2025-12-05T05:47:55+0530 lvl=warn msg="ngrok config file found at legacy location, move to XDG location" xdg_path="/Users/shivansh/Library/Application Support/ngrok/ngrok.yml" legacy_path=/Users/shivansh/.ngrok2/ngrok.yml
t=2025-12-05T05:47:55+0530 lvl=info msg="using configuration at default config path" path=/Users/shivansh/.ngrok2/ngrok.yml
t=2025-12-05T05:47:55+0530 lvl=info msg="open config file" path=/Users/shivansh/.ngrok2/ngrok.yml err=nil
t=2025-12-05T05:47:55+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2025-12-05T05:47:55+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-12-05T06:33:34+0530 lvl=info msg="join connections" obj=join id=46d7269dea5a l=127.0.0.1:3000 r=49.43.162.118:45448
t=2025-12-05T06:33:34+0530 lvl=info msg="join connections" obj=join id=92f9c39263c1 l=127.0.0.1:3000 r=49.43.162.118:45448
t=2025-12-05T06:33:34+0530 lvl=info msg="join connections" obj=join id=2d3626a7d5c5 l=127.0.0.1:3000 r=49.43.162.118:45448
t=2025-12-05T06:33:34+0530 lvl=info msg="join connections" obj=join id=fb7facd549e4 l=127.0.0.1:3000 r=49.43.162.118:45448
t=2025-12-05T06:33:45+0530 lvl=info msg="join connections" obj=join id=6900937fc726 l=127.0.0.1:3000 r=49.43.162.118:56963
t=2025-12-05T06:34:01+0530 lvl=info msg="join connections" obj=join id=c6437a35d435 l=127.0.0.1:3000 r=49.43.162.118:56963
t=2025-12-05T06:34:03+0530 lvl=info msg="join connections" obj=join id=d37f1a1129a4 l=127.0.0.1:3000 r=49.43.162.118:56963
t=2025-12-05T06:34:03+0530 lvl=info msg="join connections" obj=join id=9ec3cae78801 l=127.0.0.1:3000 r=49.43.162.118:56963
t=2025-12-05T06:34:03+0530 lvl=info msg="join connections" obj=join id=2f2021d14659 l=127.0.0.1:3000 r=49.43.162.118:56963
t=2025-12-05T06:34:18+0530 lvl=info msg="join connections" obj=join id=d2a67577007c l=127.0.0.1:3000 r=49.43.162.118:60004
